0:0:0:0:0:0:0:1 - - [27/May/2023:01:30:48 +0900] "GET /Daknawa/resources/css/assets/css/Navbar---Apple-navbar---apple.css HTTP/1.1" 200 1165
0:0:0:0:0:0:0:1 - - [27/May/2023:01:30:48 +0900] "GET /Daknawa/resources/css/assets/css/Navbar---Apple.css HTTP/1.1" 200 706
0:0:0:0:0:0:0:1 - - [27/May/2023:01:30:48 +0900] "GET /Daknawa/resources/css/assets/css/Swiper-Card-Blog.css HTTP/1.1" 200 2205
0:0:0:0:0:0:0:1 - - [27/May/2023:01:30:48 +0900] "GET /Daknawa/resources/css/assets/css/Navbar-Right-Links-icons.css HTTP/1.1" 200 998
0:0:0:0:0:0:0:1 - - [27/May/2023:01:30:48 +0900] "GET /Daknawa/resources/css/assets/js/Navbar---Apple-navbar---apple.js HTTP/1.1" 200 147
0:0:0:0:0:0:0:1 - - [27/May/2023:01:30:48 +0900] "GET /Daknawa/resources/css/assets/js/Customizable-Carousel-swipe-enabled-jquery.touchSwipe.min.js HTTP/1.1" 200 21270
0:0:0:0:0:0:0:1 - - [27/May/2023:01:30:48 +0900] "GET /Daknawa/resources/css/assets/js/jquery.min.js HTTP/1.1" 200 88147
0:0:0:0:0:0:0:1 - - [27/May/2023:01:30:48 +0900] "GET /Daknawa/resources/css/assets/bootstrap/js/bootstrap.min.js HTTP/1.1" 200 83211
0:0:0:0:0:0:0:1 - - [27/May/2023:01:30:48 +0900] "GET /Daknawa/resources/css/assets/js/Swiper-Card-Blog-swiper.js HTTP/1.1" 200 959
0:0:0:0:0:0:0:1 - - [27/May/2023:01:30:48 +0900] "GET /Daknawa/resources/css/assets/js/Swiper-Card-Blog-swiper-bundle.min.js HTTP/1.1" 200 137044
0:0:0:0:0:0:0:1 - - [27/May/2023:01:30:48 +0900] "GET /Daknawa/resources/css/footer7.css HTTP/1.1" 200 3203
0:0:0:0:0:0:0:1 - - [27/May/2023:01:30:48 +0900] "GET /Daknawa/resources/css/logoimg+logoname.png HTTP/1.1" 200 13957
0:0:0:0:0:0:0:1 - - [27/May/2023:01:30:48 +0900] "GET /Daknawa/resources/css/public/playground_assets/logo.png HTTP/1.1" 200 20199
0:0:0:0:0:0:0:1 - - [27/May/2023:01:30:48 +0900] "GET /Daknawa/resources/css/public/playground_assets/bhc.png HTTP/1.1" 200 18883
0:0:0:0:0:0:0:1 - - [27/May/2023:01:30:48 +0900] "GET /Daknawa/aaa HTTP/1.1" 404 3238
0:0:0:0:0:0:0:1 - - [27/May/2023:01:30:48 +0900] "GET /Daknawa/resources/css/public/playground_assets/bbq.png HTTP/1.1" 200 96412
0:0:0:0:0:0:0:1 - - [27/May/2023:01:30:48 +0900] "GET /Daknawa/style.css HTTP/1.1" 404 3238
0:0:0:0:0:0:0:1 - - [27/May/2023:01:30:48 +0900] "GET /Daknawa/resources/css/assets/img/clipboard-image-2.png HTTP/1.1" 200 633502
0:0:0:0:0:0:0:1 - - [27/May/2023:01:30:48 +0900] "GET /Daknawa/resources/css/public/playground_assets/goobne.png HTTP/1.1" 200 34542
0:0:0:0:0:0:0:1 - - [27/May/2023:01:30:48 +0900] "GET /Daknawa/resources/css/public/playground_assets/divideri146-w1db-200h.png HTTP/1.1" 200 105
0:0:0:0:0:0:0:1 - - [27/May/2023:01:30:48 +0900] "GET /Daknawa/resources/css/public/playground_assets/dore.png HTTP/1.1" 200 28735
0:0:0:0:0:0:0:1 - - [27/May/2023:01:30:48 +0900] "GET /Daknawa/resources/css/public/playground_assets/cursor.cur HTTP/1.1" 200 4286
0:0:0:0:0:0:0:1 - - [27/May/2023:01:30:48 +0900] "GET /Daknawa/resources/css/public/playground_assets/hosigi.png HTTP/1.1" 200 42533
0:0:0:0:0:0:0:1 - - [27/May/2023:01:30:48 +0900] "GET /Daknawa/aaa HTTP/1.1" 404 3238
0:0:0:0:0:0:0:1 - - [27/May/2023:01:31:03 +0900] "GET /Daknawa/resources/video/123.mp4 HTTP/1.1" 206 10788864
0:0:0:0:0:0:0:1 - - [27/May/2023:01:31:03 +0900] "GET /Daknawa/resources/video/456.mp4 HTTP/1.1" 206 8241152
0:0:0:0:0:0:0:1 - - [27/May/2023:01:31:16 +0900] "GET /Daknawa/resources/css/public/playground_assets/cursor2.cur HTTP/1.1" 200 2238
0:0:0:0:0:0:0:1 - - [27/May/2023:01:31:31 +0900] "GET /Daknawa/loginPage.me HTTP/1.1" 200 20812
0:0:0:0:0:0:0:1 - - [27/May/2023:01:31:31 +0900] "GET /Daknawa/style.css HTTP/1.1" 404 3238
0:0:0:0:0:0:0:1 - - [27/May/2023:01:31:36 +0900] "GET /Daknawa/resources/video/456.mp4 HTTP/1.1" 206 5971968
0:0:0:0:0:0:0:1 - - [27/May/2023:01:31:43 +0900] "POST /Daknawa/login.me HTTP/1.1" 200 20902
0:0:0:0:0:0:0:1 - - [27/May/2023:01:31:43 +0900] "GET /Daknawa/style.css HTTP/1.1" 404 3238
0:0:0:0:0:0:0:1 - - [27/May/2023:01:31:46 +0900] "GET /Daknawa/resources/video/123.mp4 HTTP/1.1" 206 8962048
0:0:0:0:0:0:0:1 - - [27/May/2023:01:31:47 +0900] "POST /Daknawa/login.me HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [27/May/2023:01:31:47 +0900] "GET /Daknawa HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [27/May/2023:01:31:47 +0900] "GET /Daknawa/ HTTP/1.1" 200 23492
