127.0.0.1 - - [13/May/2023:23:04:50 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [13/May/2023:23:05:11 +0900] "GET /Daknawa/resources/css/assets/js/Customizable-Carousel-swipe-enabled-jquery.touchSwipe.min.js HTTP/1.1" 200 21270
0:0:0:0:0:0:0:1 - - [13/May/2023:23:05:11 +0900] "GET /Daknawa/resources/css/assets/js/Swiper-Card-Blog-swiper.js HTTP/1.1" 200 959
0:0:0:0:0:0:0:1 - - [13/May/2023:23:05:11 +0900] "GET /Daknawa/resources/css/assets/js/Swiper-Card-Blog-swiper-bundle.min.js HTTP/1.1" 200 137044
0:0:0:0:0:0:0:1 - - [13/May/2023:23:05:11 +0900] "GET /Daknawa/resources/css/assets/js/Navbar---Apple-navbar---apple.js HTTP/1.1" 200 147
0:0:0:0:0:0:0:1 - - [13/May/2023:23:05:11 +0900] "GET /Daknawa/resources/css/assets/bootstrap/js/bootstrap.min.js HTTP/1.1" 200 83211
0:0:0:0:0:0:0:1 - - [13/May/2023:23:05:11 +0900] "GET /Daknawa/resources/css/footer7.css HTTP/1.1" 200 3203
0:0:0:0:0:0:0:1 - - [13/May/2023:23:05:11 +0900] "GET /Daknawa/resources/css/logoimg+logoname.png HTTP/1.1" 200 13957
0:0:0:0:0:0:0:1 - - [13/May/2023:23:05:11 +0900] "GET /Daknawa/resources/css/public/playground_assets/logo.png HTTP/1.1" 200 20199
0:0:0:0:0:0:0:1 - - [13/May/2023:23:05:11 +0900] "GET /Daknawa/resources/css/public/playground_assets/bhc.png HTTP/1.1" 200 18883
0:0:0:0:0:0:0:1 - - [13/May/2023:23:05:11 +0900] "GET /Daknawa/resources/css/public/playground_assets/bbq.png HTTP/1.1" 200 96412
0:0:0:0:0:0:0:1 - - [13/May/2023:23:05:11 +0900] "GET /Daknawa/resources/css/public/playground_assets/goobne.png HTTP/1.1" 200 34542
0:0:0:0:0:0:0:1 - - [13/May/2023:23:05:11 +0900] "GET /Daknawa/resources/css/public/playground_assets/hosigi.png HTTP/1.1" 200 42533
0:0:0:0:0:0:0:1 - - [13/May/2023:23:05:11 +0900] "GET /Daknawa/resources/css/assets/img/clipboard-image-2.png HTTP/1.1" 200 633502
0:0:0:0:0:0:0:1 - - [13/May/2023:23:05:11 +0900] "GET /Daknawa/resources/css/public/playground_assets/dore.png HTTP/1.1" 200 28735
0:0:0:0:0:0:0:1 - - [13/May/2023:23:05:11 +0900] "GET /Daknawa/resources/css/public/playground_assets/divideri146-w1db-200h.png HTTP/1.1" 200 105
0:0:0:0:0:0:0:1 - - [13/May/2023:23:05:11 +0900] "GET /Daknawa/resources/css/public/playground_assets/cursor.cur HTTP/1.1" 200 4286
0:0:0:0:0:0:0:1 - - [13/May/2023:23:05:11 +0900] "GET /Daknawa/style.css HTTP/1.1" 404 3238
0:0:0:0:0:0:0:1 - - [13/May/2023:23:05:11 +0900] "GET /Daknawa/aaa HTTP/1.1" 404 3238
0:0:0:0:0:0:0:1 - - [13/May/2023:23:05:11 +0900] "GET /Daknawa/aaa HTTP/1.1" 404 3238
0:0:0:0:0:0:0:1 - - [13/May/2023:23:05:16 +0900] "GET /Daknawa/resources/css/public/playground_assets/cursor2.cur HTTP/1.1" 200 2238
0:0:0:0:0:0:0:1 - - [13/May/2023:23:05:32 +0900] "GET /Daknawa/plist.bo?currentPage=1 HTTP/1.1" 200 27347
0:0:0:0:0:0:0:1 - - [13/May/2023:23:05:32 +0900] "GET /Daknawa/style.css HTTP/1.1" 404 3238
0:0:0:0:0:0:0:1 - - [13/May/2023:23:05:34 +0900] "GET /Daknawa/menu.mn HTTP/1.1" 200 38801
0:0:0:0:0:0:0:1 - - [13/May/2023:23:05:34 +0900] "GET /Daknawa/resources/css/styles.css HTTP/1.1" 200 248084
0:0:0:0:0:0:0:1 - - [13/May/2023:23:05:35 +0900] "GET /Daknawa/resources/css/category-filters5.css HTTP/1.1" 200 12308
0:0:0:0:0:0:0:1 - - [13/May/2023:23:05:35 +0900] "GET /Daknawa/style.css HTTP/1.1" 404 3238
0:0:0:0:0:0:0:1 - - [13/May/2023:23:05:35 +0900] "GET /Daknawa/js/scripts.js HTTP/1.1" 404 3238
0:0:0:0:0:0:0:1 - - [13/May/2023:23:05:35 +0900] "GET /Daknawa/resources/img/1.png HTTP/1.1" 200 343214
0:0:0:0:0:0:0:1 - - [13/May/2023:23:05:35 +0900] "GET /Daknawa/resources/img/2.png HTTP/1.1" 200 360814
0:0:0:0:0:0:0:1 - - [13/May/2023:23:05:35 +0900] "GET /Daknawa/resources/img/3.png HTTP/1.1" 200 434066
0:0:0:0:0:0:0:1 - - [13/May/2023:23:05:35 +0900] "GET /Daknawa/resources/img/4.png HTTP/1.1" 200 355776
0:0:0:0:0:0:0:1 - - [13/May/2023:23:05:35 +0900] "GET /Daknawa/resources/menu_upfiles/menu2.png HTTP/1.1" 404 3238
0:0:0:0:0:0:0:1 - - [13/May/2023:23:05:35 +0900] "GET /Daknawa/resources/menu_upfiles/menu1.png HTTP/1.1" 404 3238
0:0:0:0:0:0:0:1 - - [13/May/2023:23:05:35 +0900] "GET /Daknawa/resources/menu_upfiles/menu3.png HTTP/1.1" 404 3238
0:0:0:0:0:0:0:1 - - [13/May/2023:23:05:35 +0900] "GET /Daknawa/resources/img/ad.png HTTP/1.1" 200 232354
0:0:0:0:0:0:0:1 - - [13/May/2023:23:05:35 +0900] "GET /Daknawa/resources/video/123.mp4 HTTP/1.1" 206 12951552
0:0:0:0:0:0:0:1 - - [13/May/2023:23:05:36 +0900] "GET /Daknawa/menu.mn HTTP/1.1" 200 38801
0:0:0:0:0:0:0:1 - - [13/May/2023:23:05:36 +0900] "GET /Daknawa/resources/menu_upfiles/menu2.png HTTP/1.1" 404 3238
0:0:0:0:0:0:0:1 - - [13/May/2023:23:05:36 +0900] "GET /Daknawa/resources/menu_upfiles/menu1.png HTTP/1.1" 404 3238
0:0:0:0:0:0:0:1 - - [13/May/2023:23:05:36 +0900] "GET /Daknawa/style.css HTTP/1.1" 404 3238
0:0:0:0:0:0:0:1 - - [13/May/2023:23:05:36 +0900] "GET /Daknawa/resources/menu_upfiles/menu3.png HTTP/1.1" 404 3238
0:0:0:0:0:0:0:1 - - [13/May/2023:23:05:36 +0900] "GET /Daknawa/js/scripts.js HTTP/1.1" 404 3238
0:0:0:0:0:0:0:1 - - [13/May/2023:23:05:36 +0900] "GET /Daknawa/resources/video/456.mp4 HTTP/1.1" 206 13082624
0:0:0:0:0:0:0:1 - - [13/May/2023:23:05:40 +0900] "GET /Daknawa/menu.mn HTTP/1.1" 200 38801
0:0:0:0:0:0:0:1 - - [13/May/2023:23:05:40 +0900] "GET /Daknawa/resources/menu_upfiles/menu2.png HTTP/1.1" 404 3238
0:0:0:0:0:0:0:1 - - [13/May/2023:23:05:40 +0900] "GET /Daknawa/resources/menu_upfiles/menu1.png HTTP/1.1" 404 3238
0:0:0:0:0:0:0:1 - - [13/May/2023:23:05:40 +0900] "GET /Daknawa/resources/menu_upfiles/menu3.png HTTP/1.1" 404 3238
0:0:0:0:0:0:0:1 - - [13/May/2023:23:05:40 +0900] "GET /Daknawa/js/scripts.js HTTP/1.1" 404 3238
0:0:0:0:0:0:0:1 - - [13/May/2023:23:05:40 +0900] "GET /Daknawa/style.css HTTP/1.1" 404 3238
0:0:0:0:0:0:0:1 - - [13/May/2023:23:05:46 +0900] "GET /Daknawa/menu.mn HTTP/1.1" 200 38801
0:0:0:0:0:0:0:1 - - [13/May/2023:23:05:46 +0900] "GET /Daknawa/resources/menu_upfiles/menu2.png HTTP/1.1" 404 3238
0:0:0:0:0:0:0:1 - - [13/May/2023:23:05:46 +0900] "GET /Daknawa/resources/menu_upfiles/menu1.png HTTP/1.1" 404 3238
0:0:0:0:0:0:0:1 - - [13/May/2023:23:05:46 +0900] "GET /Daknawa/style.css HTTP/1.1" 404 3238
0:0:0:0:0:0:0:1 - - [13/May/2023:23:05:46 +0900] "GET /Daknawa/resources/menu_upfiles/menu3.png HTTP/1.1" 404 3238
0:0:0:0:0:0:0:1 - - [13/May/2023:23:05:46 +0900] "GET /Daknawa/js/scripts.js HTTP/1.1" 404 3238
0:0:0:0:0:0:0:1 - - [13/May/2023:23:05:49 +0900] "GET /Daknawa/menu.mn?currentPage=7 HTTP/1.1" 200 38114
0:0:0:0:0:0:0:1 - - [13/May/2023:23:05:49 +0900] "GET /Daknawa/js/scripts.js HTTP/1.1" 404 3238
0:0:0:0:0:0:0:1 - - [13/May/2023:23:05:49 +0900] "GET /Daknawa/style.css HTTP/1.1" 404 3238
0:0:0:0:0:0:0:1 - - [13/May/2023:23:05:51 +0900] "GET /Daknawa/menu.mn?currentPage=5 HTTP/1.1" 200 38014
0:0:0:0:0:0:0:1 - - [13/May/2023:23:05:51 +0900] "GET /Daknawa/style.css HTTP/1.1" 404 3238
0:0:0:0:0:0:0:1 - - [13/May/2023:23:05:51 +0900] "GET /Daknawa/js/scripts.js HTTP/1.1" 404 3238
0:0:0:0:0:0:0:1 - - [13/May/2023:23:05:53 +0900] "GET /Daknawa/menu.mn?currentPage=1 HTTP/1.1" 200 38801
0:0:0:0:0:0:0:1 - - [13/May/2023:23:05:53 +0900] "GET /Daknawa/resources/menu_upfiles/menu2.png HTTP/1.1" 404 3238
0:0:0:0:0:0:0:1 - - [13/May/2023:23:05:53 +0900] "GET /Daknawa/resources/menu_upfiles/menu1.png HTTP/1.1" 404 3238
0:0:0:0:0:0:0:1 - - [13/May/2023:23:05:53 +0900] "GET /Daknawa/style.css HTTP/1.1" 404 3238
0:0:0:0:0:0:0:1 - - [13/May/2023:23:05:53 +0900] "GET /Daknawa/resources/menu_upfiles/menu3.png HTTP/1.1" 404 3238
0:0:0:0:0:0:0:1 - - [13/May/2023:23:05:53 +0900] "GET /Daknawa/js/scripts.js HTTP/1.1" 404 3238
0:0:0:0:0:0:0:1 - - [13/May/2023:23:05:56 +0900] "GET /Daknawa/list.st?currentPage=1 HTTP/1.1" 200 68766
0:0:0:0:0:0:0:1 - - [13/May/2023:23:05:56 +0900] "GET /Daknawa/resources/css/style.css HTTP/1.1" 404 3238
0:0:0:0:0:0:0:1 - - [13/May/2023:23:05:56 +0900] "GET /Daknawa/style.css HTTP/1.1" 404 3238
0:0:0:0:0:0:0:1 - - [13/May/2023:23:05:56 +0900] "GET /Daknawa/resources/css/layout155.css HTTP/1.1" 200 2637
0:0:0:0:0:0:0:1 - - [13/May/2023:23:05:56 +0900] "GET /Daknawa/resources/css/career17.css HTTP/1.1" 200 6772
0:0:0:0:0:0:0:1 - - [13/May/2023:23:05:56 +0900] "GET /Daknawa/resources/css/public/playground_assets/iconpini146-ify4.svg HTTP/1.1" 200 650
0:0:0:0:0:0:0:1 - - [13/May/2023:23:05:56 +0900] "GET /Daknawa/resources/css/public/playground_assets/iconclocki146-fjhq.svg HTTP/1.1" 200 1007
0:0:0:0:0:0:0:1 - - [13/May/2023:23:06:00 +0900] "GET /Daknawa/myPage.me HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [13/May/2023:23:06:00 +0900] "GET /Daknawa/loginPage.me HTTP/1.1" 200 20858
0:0:0:0:0:0:0:1 - - [13/May/2023:23:06:00 +0900] "GET /Daknawa/style.css HTTP/1.1" 404 3238
0:0:0:0:0:0:0:1 - - [13/May/2023:23:06:07 +0900] "GET /Daknawa HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [13/May/2023:23:06:07 +0900] "GET /Daknawa/ HTTP/1.1" 200 23512
0:0:0:0:0:0:0:1 - - [13/May/2023:23:06:07 +0900] "GET /Daknawa/aaa HTTP/1.1" 404 3238
0:0:0:0:0:0:0:1 - - [13/May/2023:23:06:07 +0900] "GET /Daknawa/style.css HTTP/1.1" 404 3238
0:0:0:0:0:0:0:1 - - [13/May/2023:23:06:07 +0900] "GET /Daknawa/aaa HTTP/1.1" 404 3238
0:0:0:0:0:0:0:1 - - [13/May/2023:23:06:09 +0900] "GET /Daknawa/menu.mn HTTP/1.1" 200 38801
0:0:0:0:0:0:0:1 - - [13/May/2023:23:06:09 +0900] "GET /Daknawa/resources/menu_upfiles/menu2.png HTTP/1.1" 404 3238
0:0:0:0:0:0:0:1 - - [13/May/2023:23:06:09 +0900] "GET /Daknawa/resources/menu_upfiles/menu1.png HTTP/1.1" 404 3238
0:0:0:0:0:0:0:1 - - [13/May/2023:23:06:09 +0900] "GET /Daknawa/style.css HTTP/1.1" 404 3238
0:0:0:0:0:0:0:1 - - [13/May/2023:23:06:09 +0900] "GET /Daknawa/js/scripts.js HTTP/1.1" 404 3238
0:0:0:0:0:0:0:1 - - [13/May/2023:23:06:09 +0900] "GET /Daknawa/resources/menu_upfiles/menu3.png HTTP/1.1" 404 3238
