0:0:0:0:0:0:0:1 - - [04/Jun/2023:22:33:38 +0900] "GET /Daknawa/resources/admin/css/notika-custom-icon.css HTTP/1.1" 200 3893
0:0:0:0:0:0:0:1 - - [04/Jun/2023:22:33:38 +0900] "GET /Daknawa/resources/admin/css/main.css HTTP/1.1" 200 5728
0:0:0:0:0:0:0:1 - - [04/Jun/2023:22:33:38 +0900] "GET /Daknawa/resources/admin/css/jquery.dataTables.min.css HTTP/1.1" 200 13623
0:0:0:0:0:0:0:1 - - [04/Jun/2023:22:33:38 +0900] "GET /Daknawa/resources/admin/style.css HTTP/1.1" 200 122069
0:0:0:0:0:0:0:1 - - [04/Jun/2023:22:33:38 +0900] "GET /Daknawa/resources/admin/css/responsive.css HTTP/1.1" 200 17480
0:0:0:0:0:0:0:1 - - [04/Jun/2023:22:33:38 +0900] "GET /Daknawa/resources/admin/js/vendor/modernizr-2.8.3.min.js HTTP/1.1" 200 15514
0:0:0:0:0:0:0:1 - - [04/Jun/2023:22:33:38 +0900] "GET /Daknawa/resources/admin/js/vendor/jquery-1.12.4.min.js HTTP/1.1" 200 97166
0:0:0:0:0:0:0:1 - - [04/Jun/2023:22:33:38 +0900] "GET /Daknawa/resources/admin/js/bootstrap.min.js HTTP/1.1" 200 36868
0:0:0:0:0:0:0:1 - - [04/Jun/2023:22:33:38 +0900] "GET /Daknawa/resources/admin/js/wow.min.js HTTP/1.1" 200 8426
0:0:0:0:0:0:0:1 - - [04/Jun/2023:22:33:38 +0900] "GET /Daknawa/resources/admin/js/jquery-price-slider.js HTTP/1.1" 200 24017
0:0:0:0:0:0:0:1 - - [04/Jun/2023:22:33:38 +0900] "GET /Daknawa/resources/admin/js/owl.carousel.min.js HTTP/1.1" 200 23890
0:0:0:0:0:0:0:1 - - [04/Jun/2023:22:33:38 +0900] "GET /Daknawa/resources/admin/js/jquery.scrollUp.min.js HTTP/1.1" 200 2035
0:0:0:0:0:0:0:1 - - [04/Jun/2023:22:33:38 +0900] "GET /Daknawa/resources/admin/js/meanmenu/jquery.meanmenu.js HTTP/1.1" 200 11750
0:0:0:0:0:0:0:1 - - [04/Jun/2023:22:33:38 +0900] "GET /Daknawa/resources/admin/js/counterup/jquery.counterup.min.js HTTP/1.1" 200 1074
0:0:0:0:0:0:0:1 - - [04/Jun/2023:22:33:38 +0900] "GET /Daknawa/resources/admin/js/counterup/waypoints.min.js HTTP/1.1" 200 8051
0:0:0:0:0:0:0:1 - - [04/Jun/2023:22:33:38 +0900] "GET /Daknawa/resources/admin/js/counterup/counterup-active.js HTTP/1.1" 200 204
0:0:0:0:0:0:0:1 - - [04/Jun/2023:22:33:38 +0900] "GET /Daknawa/resources/admin/js/scrollbar/jquery.mCustomScrollbar.concat.min.js HTTP/1.1" 200 45483
0:0:0:0:0:0:0:1 - - [04/Jun/2023:22:33:38 +0900] "GET /Daknawa/resources/admin/js/sparkline/jquery.sparkline.min.js HTTP/1.1" 200 43251
0:0:0:0:0:0:0:1 - - [04/Jun/2023:22:33:38 +0900] "GET /Daknawa/resources/admin/js/sparkline/sparkline-active.js HTTP/1.1" 200 1165
0:0:0:0:0:0:0:1 - - [04/Jun/2023:22:33:38 +0900] "GET /Daknawa/resources/admin/js/flot/jquery.flot.js HTTP/1.1" 200 126139
0:0:0:0:0:0:0:1 - - [04/Jun/2023:22:33:38 +0900] "GET /Daknawa/resources/admin/js/flot/jquery.flot.resize.js HTTP/1.1" 200 3373
0:0:0:0:0:0:0:1 - - [04/Jun/2023:22:33:38 +0900] "GET /Daknawa/resources/admin/js/flot/flot-active.js HTTP/1.1" 200 11673
0:0:0:0:0:0:0:1 - - [04/Jun/2023:22:33:38 +0900] "GET /Daknawa/resources/admin/js/knob/jquery.knob.js HTTP/1.1" 200 26836
0:0:0:0:0:0:0:1 - - [04/Jun/2023:22:33:38 +0900] "GET /Daknawa/resources/admin/js/knob/jquery.appear.js HTTP/1.1" 200 3337
